,std. real power(ss),ave. real power(ss),max. real power(tr),std. reactive power(ss),ave. reactive power(ss),max. reactive power(tr),std. phase B current(ss),ave. phase B current(ss),max. phase B current(tr)
0,0.5048246982322164,-0.3348437841624569,-0.23601781592175164,1.0879032423656183,-0.27095106492381654,-0.2645257986946365,-0.14547890582066175,-0.41125251725076023,-0.2759401353943972
1,-0.1245996436885291,-0.315711066867268,-0.29954094265851594,0.12856586080282015,-0.48718788604895263,-0.542485268890495,-0.06726721224668288,-0.42875176901898815,-0.4333934288957404
2,-0.8989995358835935,-0.3134798510403221,-0.31940156448980356,-1.2643011169742242,-0.39552309729510615,-0.6402827655147157,-0.5745937949210204,-0.41844205443733085,-0.44478089416677996
3,-0.7861069096127016,-0.3348622756044431,-0.305550105299918,-1.147458421672475,-0.46076346183593025,-0.5244045229319677,-0.5310575765379401,-0.43346655198501305,-0.4277000091026734
4,0.41021795048951176,-0.39147411951915756,-0.35443792421666237,1.1869743475897954,-0.3340286960748398,-0.12113079342754611,-0.4146874822929415,-0.4284678074544399,-0.4923332597893966
6,0.5776433329074071,0.2256315044929001,0.2579210508043696,1.1163680155122329,0.9790748501567754,1.1916259024522724,-0.11082201720789435,0.33287543872737435,0.28598810347295234
7,0.5942293380234578,0.22392640091588262,0.15781688429695861,0.9986899475708563,0.8394270038870224,1.083624213640382,0.9511494463274086,0.32020054562863237,0.2618360404549638
8,-0.500464040565875,0.16342785359110776,0.14068970906239003,-0.038674227508412665,1.0092352015617636,0.8299341906947593,-0.11420175402072724,0.33495249439636365,0.21925849551201954
9,-0.9241944136130237,-0.39095404589330884,-0.4607057406992374,-1.4137722826131824,-0.5134887266642794,-0.6904497587424949,-0.6360483438455521,-0.44889111793273134,-0.5305626074850288
10,6.006087746217681,0.09296311919054143,0.8949977597857647,1.0156124823968924,-1.5463604508438036,-0.7188056040329848,6.4549509639423395,-0.17333778402620675,0.7292542615792846
11,5.2847058378825045,0.20174011280362913,1.4344413011608894,0.26461319620985285,-1.3405450213242924,-0.4959287560358683,5.890485518835636,-0.04747095523836991,1.3330092235035775
12,-0.8450478941263702,-0.2484742714254207,-0.29747224707140785,-1.2103137170934577,-1.0740135269456033,-1.2208684632489692,-0.2800985991876717,-0.3405682551898011,-0.41208885788041627
15,-0.5861776231459275,-1.0617439353217692,-0.993912254816383,-0.030508113081153174,-1.237700402488037,-1.1725687841522323,-0.29245428595156325,-1.2016380472747579,-1.091707801693769
16,-0.3110515893682773,0.3030657050297616,0.30379070182785034,1.123466775606532,1.0500968425715524,0.394718037178385,0.3099370084900074,0.44531707164871803,0.3146128750343497
18,-0.5364356850916715,-4.639114861345185,-4.636224798977403,-1.2604825962482735,0.01698674071732038,-0.013665782211880945,-0.390389829890281,-3.5957701358110845,-3.619193259695269
20,0.42360584584160277,-0.06649097024799679,-0.12092254934805853,1.1487784869002795,0.313107070577969,0.6043914041758863,-0.12638044072560353,0.06573452157843784,0.007651547797833827
21,0.001976438887047604,-0.08931350706909691,-0.11865583578706397,2.0743435790045535,0.4808829217085366,0.6094039237799262,-0.13408158214995178,0.048497910241879036,-0.024758617438825594
22,-0.6295163270831533,-0.08332627869580017,-0.12991132336630742,-1.018237439638886,0.9785590418113286,0.7950747970415502,-0.2908942091276486,0.039808972758753364,0.001801393936063871
